ShipmentDetailID,ShipmentID,ProductID,ItemWeight,Quantity,TotalItemPrice,AdditionalCharges,TotalPrice
175,57,12,20,5,20350,202.72,20552.72
176,58,8,14,2,5002,277.73,5279.73
177,59,17,21,4,1472,192.2,1664.2
178,59,39,2,3,43836,277.13,44113.13
179,59,28,29,2,155842,489.6,156331.6
180,59,21,25,5,16725,494.72,17219.72
181,59,42,36,9,12744,202.08,12946.08
182,60,43,26,4,5736,196.36,5932.36
183,60,29,7,7,186228,311.48,186539.48
184,60,4,4,1,71137,476.97,71613.97
185,61,8,28,3,7503,272.49,7775.49
186,61,31,37,6,30780,287.64,31067.64
187,62,5,41,7,923027,372.71,923399.71
188,62,4,44,2,142274,375.18,142649.18
189,62,6,14,2,132040,401.47,132441.47
190,63,7,13,1,4181,461.18,4642.18
191,63,16,18,10,3230,85.61,3315.61
192,63,28,2,5,389605,355.34,389960.34
193,63,10,34,2,81098,58.3,81156.3
194,64,10,33,10,405490,157.96,405647.96
195,64,38,17,2,19590,341.82,19931.82
196,65,38,9,10,97950,148.32,98098.32
197,65,19,5,1,18644,232.96,18876.96
198,65,41,14,5,21255,418.22,21673.22
199,66,26,16,9,7398,63.2,7461.2
200,67,9,21,3,13311,114.96,13425.96
201,67,32,30,9,13626,415.71,14041.71
202,68,38,1,2,19590,200.75,19790.75
203,69,26,8,6,4932,144.95,5076.95
204,69,23,19,9,1572930,84.12,1573014.12
205,69,30,3,3,44523,320.48,44843.48
206,70,14,34,3,10536,201.3,10737.3
207,70,42,35,4,5664,438.89,6102.89
208,71,38,47,6,58770,82.29,58852.29
209,71,24,28,3,283716,291.71,284007.71
210,71,3,11,10,751430,91.48,751521.48
211,71,32,41,2,3028,458.44,3486.44
212,71,15,8,5,955,168.33,1123.33
213,72,29,2,2,53208,391.28,53599.28
214,72,40,26,4,3424,285.69,3709.69
215,73,10,25,2,81098,53.87,81151.87
216,73,13,31,8,8568,184.7,8752.7
217,73,13,29,1,1071,472.67,1543.67
218,73,16,23,9,2907,113.59,3020.59
219,73,30,33,6,89046,219.37,89265.37
220,74,39,30,2,29224,288.59,29512.59
221,74,4,1,9,640233,341.4,640574.4
222,74,20,49,5,244735,293.06,245028.06
223,74,15,4,8,1528,320.93,1848.93
224,75,41,43,9,38259,261.97,38520.97
225,76,3,35,10,751430,408.94,751838.94
226,77,33,8,7,24556,207.11,24763.11
227,78,6,48,2,132040,216.66,132256.66
228,79,20,43,7,342629,359.82,342988.82
229,79,37,15,2,19804,175.78,19979.78
230,79,29,46,5,133020,466.79,133486.79
231,80,38,43,7,68565,232.52,68797.52
232,81,45,48,7,12523,494.35,13017.35
233,82,37,26,7,69314,422.49,69736.49
234,82,44,31,6,8406,72.38,8478.38
235,82,19,14,3,55932,487.25,56419.25
236,83,37,21,2,19804,59.23,19863.23
237,83,8,37,10,25010,295.67,25305.67
238,83,33,48,4,14032,268.89,14300.89
239,84,36,29,10,36790,60.09,36850.09
240,84,12,42,8,32560,352.48,32912.48
241,85,20,49,8,391576,438.26,392014.26
242,85,10,10,9,364941,348.9,365289.9
243,85,29,1,9,239436,208.37,239644.37
244,86,41,7,6,25506,364.15,25870.15
245,86,14,50,4,14048,98.34,14146.34
246,87,36,4,1,3679,83.55,3762.55
247,87,13,38,9,9639,140.75,9779.75
248,88,1,21,9,81891,303.08,82194.08
249,88,10,25,1,40549,207.13,40756.13
250,88,28,50,8,623368,183.47,623551.47
251,88,17,48,6,2208,391.27,2599.27
252,88,20,13,6,293682,238.57,293920.57
253,89,23,43,6,1048620,387.48,1049007.48
254,90,11,19,8,221032,143.21,221175.21
255,90,17,15,9,3312,70.76,3382.76
256,91,7,26,1,4181,76.75,4257.75
257,91,43,33,2,2868,381.6,3249.6
258,91,27,45,5,1840,310.6,2150.6
259,91,44,19,9,12609,236.45,12845.45
260,92,5,37,9,1186749,397.88,1187146.88
261,92,37,26,3,29706,133.06,29839.06
262,92,35,10,10,17940,237.65,18177.65
263,92,13,12,9,9639,233.12,9872.12
264,93,1,38,1,9099,339.66,9438.66
265,93,5,10,9,1186749,161.75,1186910.75
266,93,12,22,4,16280,446.58,16726.58
267,93,31,11,8,41040,468.9,41508.9
268,94,8,1,1,2501,335.97,2836.97
269,94,17,19,7,2576,311.87,2887.87
270,95,33,9,1,3508,51.6,3559.6
271,95,18,33,2,924,70.23,994.23
272,95,38,41,10,97950,159.08,98109.08
273,95,33,48,7,24556,305.61,24861.61
274,96,33,45,9,31572,376.92,31948.92
275,96,16,1,1,323,280.55,603.55
276,96,3,14,5,375715,85.96,375800.96
277,96,15,12,6,1146,57.85,1203.85
278,97,29,42,10,266040,376.46,266416.46
279,97,32,10,9,13626,61.39,13687.39
280,97,35,43,6,10764,136.88,10900.88
281,97,3,29,6,450858,164.04,451022.04
282,97,14,36,7,24584,130.96,24714.96
283,98,1,11,6,54594,242.13,54836.13
284,98,2,48,2,44352,411.32,44763.32
285,98,38,30,7,68565,150.31,68715.31
286,99,45,17,2,3578,446.35,4024.35
287,99,44,17,4,5604,448.18,6052.18
288,100,4,11,2,142274,223.28,142497.28
289,100,40,1,2,1712,63.67,1775.67
290,100,35,40,5,8970,444.79,9414.79
291,100,11,38,5,138145,413.44,138558.44
292,101,6,13,5,330100,324.94,330424.94
293,101,16,34,9,2907,483.28,3390.28
294,101,20,22,8,391576,131.1,391707.1
295,102,15,8,4,764,311.18,1075.18
296,102,43,27,4,5736,126.08,5862.08
297,102,18,17,1,462,477.39,939.39
298,103,21,5,2,6690,149.49,6839.49
299,103,19,41,10,186440,450.51,186890.51
300,103,37,47,7,69314,326.21,69640.21
301,104,44,40,10,14010,101.7,14111.7
302,104,12,3,3,12210,324.1,12534.1
303,105,2,39,9,199584,85.9,199669.9
304,106,4,41,10,711370,171.67,711541.67
305,106,5,40,10,1318610,231.72,1318841.72
306,106,43,5,3,4302,69.46,4371.46
307,107,38,16,10,97950,186.35,98136.35
308,107,27,25,9,3312,292.71,3604.71
309,107,5,46,9,1186749,234.4,1186983.4
310,107,44,1,4,5604,291.66,5895.66
311,108,1,30,1,9099,311.55,9410.55
312,108,28,46,9,701289,321.15,701610.15
313,108,38,30,9,88155,226.47,88381.47
314,108,1,35,5,45495,108.19,45603.19
315,108,10,7,9,364941,255.89,365196.89
316,109,20,24,4,195788,51.84,195839.84
317,109,4,3,9,640233,311.13,640544.13
318,110,43,26,6,8604,494.59,9098.59
319,110,41,12,9,38259,495.15,38754.15
320,110,12,45,8,32560,130.75,32690.75
321,111,36,16,9,33111,180.24,33291.24
322,112,23,34,2,349540,146.8,349686.8
323,112,7,37,10,41810,153.27,41963.27
324,112,36,32,7,25753,261.43,26014.43
325,112,6,26,1,66020,493.34,66513.34
326,112,16,18,4,1292,199.75,1491.75
327,113,6,18,9,594180,392.88,594572.88
328,113,16,33,9,2907,449.87,3356.87
329,113,14,49,8,28096,239.29,28335.29
330,113,12,33,3,12210,201.72,12411.72
331,113,5,34,5,659305,290.99,659595.99
332,114,19,40,1,18644,480.84,19124.84
333,114,41,16,4,17004,203.24,17207.24
334,114,20,44,4,195788,458.83,196246.83
335,114,39,47,8,116896,450.06,117346.06
336,115,8,31,5,12505,326.23,12831.23
337,115,30,22,9,133569,308.16,133877.16
338,115,35,28,4,7176,93.4,7269.4
339,116,33,13,3,10524,492.62,11016.62
340,117,32,26,1,1514,304.85,1818.85
341,117,27,23,1,368,462.41,830.41
342,117,28,49,9,701289,141.28,701430.28
343,117,27,43,1,368,455.39,823.39
344,117,14,15,4,14048,431.63,14479.63
345,118,1,16,5,45495,499.05,45994.05
346,118,31,30,8,41040,297.16,41337.16
347,118,21,36,9,30105,153.67,30258.67
348,119,20,41,3,146841,347.8,147188.8
349,119,4,38,1,71137,75.34,71212.34
350,120,45,5,7,12523,358.67,12881.67
351,120,17,21,9,3312,117.8,3429.8
352,121,33,19,6,21048,164.55,21212.55
353,121,41,49,5,21255,239.64,21494.64
354,121,25,4,1,1319,414.21,1733.21
355,121,39,33,5,73060,387.53,73447.53
356,122,28,33,6,467526,277.19,467803.19
357,123,42,17,5,7080,381.61,7461.61
358,124,14,15,7,24584,391.35,24975.35
359,125,41,26,4,17004,410.89,17414.89
360,126,35,47,4,7176,278.52,7454.52
361,127,43,20,6,8604,359.93,8963.93
362,128,22,31,9,965682,84.34,965766.34
363,129,45,1,8,14312,223.78,14535.78
364,129,13,14,9,9639,469.2,10108.2
365,129,30,17,6,89046,121.94,89167.94
366,129,22,23,7,751086,328.54,751414.54
367,129,33,18,7,24556,50.21,24606.21
368,130,40,32,8,6848,73.55,6921.55
369,130,17,4,9,3312,153.12,3465.12
370,130,44,42,10,14010,460.29,14470.29
371,130,38,5,8,78360,324.53,78684.53
372,130,32,17,1,1514,483.51,1997.51
373,131,12,49,2,8140,262.45,8402.45
374,131,42,4,9,12744,392.32,13136.32
375,131,13,10,1,1071,479.34,1550.34
376,132,2,43,2,44352,334.05,44686.05
377,132,12,25,8,32560,123.02,32683.02
378,133,14,20,3,10536,445.52,10981.52
379,133,5,10,6,791166,266.3,791432.3
380,133,5,6,9,1186749,374.54,1187123.54
381,133,11,45,8,221032,131.46,221163.46
382,133,17,26,6,2208,490.73,2698.73
383,134,36,5,4,14716,428.09,15144.09
384,134,21,49,9,30105,428.27,30533.27
385,134,32,19,9,13626,424.46,14050.46
386,134,25,10,2,2638,499.12,3137.12
387,134,19,42,5,93220,295.49,93515.49
388,135,30,31,5,74205,153.98,74358.98
389,136,18,21,4,1848,112.69,1960.69
390,136,17,31,1,368,68.56,436.56
391,137,37,2,1,9902,498.48,10400.48
392,137,8,5,1,2501,115.86,2616.86
393,137,27,49,2,736,284.01,1020.01
394,138,39,47,10,146120,333.83,146453.83
395,139,33,26,3,10524,235.91,10759.91
396,139,45,50,10,17890,194.07,18084.07
397,139,26,15,7,5754,184.58,5938.58
398,140,19,20,5,93220,221.36,93441.36
399,140,7,9,1,4181,236.46,4417.46
400,141,11,22,8,221032,94.07,221126.07
401,142,41,27,7,29757,99.32,29856.32
402,142,33,48,6,21048,424.63,21472.63
403,142,37,21,4,39608,264.16,39872.16
404,143,14,30,8,28096,129.2,28225.2
405,143,35,31,10,17940,311.53,18251.53
406,143,2,50,3,66528,342.61,66870.61
407,143,13,27,2,2142,336.51,2478.51
408,143,29,21,9,239436,51.15,239487.15
409,144,1,48,6,54594,191.74,54785.74
410,144,45,6,8,14312,344.32,14656.32
411,144,36,24,6,22074,109.76,22183.76
412,144,23,39,3,524310,314.46,524624.46
413,145,19,15,8,149152,454.17,149606.17
414,145,1,25,8,72792,493.56,73285.56
415,145,4,34,1,71137,195.58,71332.58
416,146,19,7,8,149152,388.25,149540.25
417,146,4,37,6,426822,466.68,427288.68
418,146,10,14,8,324392,257.57,324649.57
419,146,26,2,3,2466,200.06,2666.06
420,147,13,30,9,9639,305.66,9944.66
421,147,21,4,2,6690,208.68,6898.68
422,147,21,35,9,30105,304.69,30409.69
423,147,5,33,5,659305,242.45,659547.45
424,147,8,8,5,12505,232.44,12737.44
425,148,45,38,8,14312,345.16,14657.16
426,148,24,43,10,945720,129.21,945849.21
427,148,22,37,8,858384,306.11,858690.11
428,148,38,35,7,68565,112.83,68677.83
429,148,4,24,1,71137,78.07,71215.07
430,149,21,15,4,13380,303.04,13683.04
431,149,26,44,8,6576,95.53,6671.53
432,150,7,15,1,4181,210.8,4391.8
433,150,21,4,8,26760,91.71,26851.71
434,151,41,1,10,42510,276.98,42786.98
435,151,41,26,4,17004,472.29,17476.29
436,151,39,25,7,102284,449.84,102733.84
437,151,20,19,7,342629,390.84,343019.84
438,152,45,36,7,12523,238.77,12761.77
439,152,1,36,5,45495,472.88,45967.88
440,152,33,26,7,24556,186.13,24742.13
441,152,41,45,9,38259,249.53,38508.53
442,153,15,39,2,382,432.72,814.72
443,153,17,17,10,3680,440.84,4120.84
444,153,31,9,4,20520,376.93,20896.93
445,153,6,7,8,528160,325.96,528485.96
446,153,2,20,5,110880,165.33,111045.33
447,154,12,14,6,24420,265.49,24685.49
448,155,43,44,8,11472,441.0,11913.0
449,155,31,22,8,41040,347.17,41387.17
450,156,3,46,7,526001,492.61,526493.61
451,156,33,11,7,24556,429.44,24985.44
452,156,26,8,5,4110,420.29,4530.29
453,156,6,18,2,132040,315.36,132355.36
454,157,32,19,1,1514,154.04,1668.04
455,157,32,49,6,9084,487.18,9571.18
456,157,4,47,4,284548,231.61,284779.61
457,157,8,36,10,25010,467.92,25477.92
458,157,25,16,7,9233,340.84,9573.84
459,158,25,48,2,2638,215.15,2853.15
460,158,38,44,8,78360,397.18,78757.18
461,158,30,45,3,44523,368.42,44891.42
462,158,45,2,9,16101,427.36,16528.36
463,159,26,32,10,8220,231.85,8451.85
464,159,24,46,5,472860,151.5,473011.5
465,159,26,44,6,4932,393.6,5325.6
466,159,37,11,6,59412,104.75,59516.75
467,160,15,39,7,1337,271.2,1608.2
468,160,11,43,8,221032,285.13,221317.13
469,160,40,8,10,8560,422.53,8982.53
470,160,11,19,10,276290,286.87,276576.87
471,161,30,32,9,133569,200.78,133769.78
472,162,23,46,8,1398160,110.51,1398270.51
473,162,45,22,5,8945,216.72,9161.72
474,162,37,21,6,59412,338.88,59750.88
475,163,43,15,9,12906,347.17,13253.17
476,163,20,45,2,97894,437.56,98331.56
477,163,28,5,4,311684,286.71,311970.71
478,163,34,44,10,25750,147.29,25897.29
479,164,22,50,5,536490,405.09,536895.09
480,164,44,44,6,8406,499.1,8905.1
481,164,25,29,5,6595,76.52,6671.52
482,165,37,26,3,29706,123.97,29829.97
483,165,25,31,6,7914,422.87,8336.87
484,165,1,13,7,63693,128.1,63821.1
485,165,37,40,10,99020,80.48,99100.48
486,166,10,36,5,202745,124.76,202869.76
487,166,29,49,1,26604,352.12,26956.12
488,167,23,39,6,1048620,424.69,1049044.69
489,168,39,3,3,43836,135.89,43971.89
490,169,1,6,3,27297,229.56,27526.56
491,169,23,16,5,873850,252.45,874102.45
492,169,18,43,10,4620,210.52,4830.52
493,169,37,11,6,59412,83.15,59495.15
494,169,10,19,10,405490,423.76,405913.76
495,170,22,3,1,107298,187.11,107485.11
496,170,19,43,5,93220,100.02,93320.02
497,170,14,28,4,14048,270.59,14318.59
498,170,36,16,1,3679,360.9,4039.9
499,171,11,30,8,221032,270.42,221302.42
500,171,5,46,2,263722,131.74,263853.74
501,171,44,1,4,5604,370.21,5974.21
502,172,22,28,3,321894,112.26,322006.26
503,172,31,37,2,10260,367.55,10627.55
504,172,22,44,5,536490,326.57,536816.57
505,173,24,38,6,567432,419.42,567851.42
506,173,17,18,4,1472,50.65,1522.65
507,174,36,6,8,29432,241.11,29673.11
508,174,29,26,4,106416,281.54,106697.54
509,174,21,29,8,26760,322.28,27082.28
510,174,36,19,5,18395,192.57,18587.57
511,175,27,9,3,1104,282.34,1386.34
512,175,44,33,3,4203,430.78,4633.78
513,175,27,11,2,736,111.73,847.73
514,176,44,47,1,1401,130.63,1531.63
515,176,22,13,6,643788,468.76,644256.76
516,176,42,22,7,9912,376.38,10288.38
517,176,27,6,10,3680,453.02,4133.02
518,176,18,10,5,2310,355.52,2665.52
519,177,42,39,7,9912,393.58,10305.58
520,177,31,34,3,15390,173.71,15563.71
521,177,6,3,6,396120,382.96,396502.96
522,177,20,12,6,293682,453.03,294135.03
523,177,24,45,8,756576,223.85,756799.85
524,178,15,46,7,1337,401.33,1738.33
525,178,1,47,10,90990,279.48,91269.48
526,178,5,27,4,527444,338.78,527782.78
527,179,23,2,10,1747700,249.85,1747949.85
528,179,32,23,5,7570,350.78,7920.78
529,179,10,36,5,202745,271.08,203016.08
530,179,8,38,6,15006,296.34,15302.34
531,179,17,10,2,736,237.88,973.88
532,180,36,32,7,25753,329.55,26082.55
533,180,34,20,3,7725,499.72,8224.72
534,180,4,35,10,711370,298.21,711668.21
535,181,24,1,4,378288,485.11,378773.11
536,182,14,13,8,28096,414.71,28510.71
537,182,26,47,8,6576,204.76,6780.76
538,182,40,21,9,7704,222.3,7926.3
539,183,14,29,5,17560,489.97,18049.97
540,183,31,6,5,25650,205.18,25855.18
541,183,1,45,8,72792,266.82,73058.82
542,183,7,11,10,41810,169.03,41979.03
543,184,27,46,2,736,383.8,1119.8
544,184,19,49,1,18644,119.74,18763.74
545,185,33,17,10,35080,448.96,35528.96
546,186,43,18,5,7170,354.32,7524.32
547,186,43,16,1,1434,67.95,1501.95
548,186,26,4,8,6576,314.21,6890.21
549,187,8,5,9,22509,265.8,22774.8
550,187,19,23,6,111864,148.13,112012.13
551,187,13,20,8,8568,210.75,8778.75
552,187,4,48,5,355685,322.72,356007.72
553,188,45,2,1,1789,292.17,2081.17
554,188,17,41,2,736,78.48,814.48
555,188,18,11,8,3696,144.76,3840.76
556,188,41,33,9,38259,327.41,38586.41
557,188,5,30,6,791166,252.06,791418.06
558,189,27,3,2,736,428.09,1164.09
559,189,36,1,1,3679,159.23,3838.23
560,190,26,29,7,5754,333.01,6087.01
561,191,5,31,4,527444,376.11,527820.11
562,191,4,14,3,213411,266.47,213677.47
563,191,11,33,6,165774,432.85,166206.85
564,192,13,28,3,3213,432.4,3645.4
565,192,43,38,10,14340,291.55,14631.55
566,193,39,42,2,29224,391.65,29615.65
567,193,43,32,7,10038,351.83,10389.83
568,193,10,37,5,202745,455.27,203200.27
569,193,28,13,8,623368,263.05,623631.05
570,193,42,8,8,11328,63.88,11391.88
571,194,28,23,3,233763,389.88,234152.88
572,194,19,25,7,130508,189.15,130697.15
573,194,34,34,5,12875,216.95,13091.95
574,194,26,37,1,822,165.15,987.15
575,194,5,26,2,263722,121.97,263843.97
576,195,23,7,7,1223390,362.56,1223752.56
577,195,14,11,8,28096,414.53,28510.53
578,196,31,30,9,46170,225.9,46395.9
579,196,8,1,5,12505,296.19,12801.19
580,197,18,28,5,2310,388.82,2698.82
581,197,36,39,10,36790,274.38,37064.38
582,197,6,41,1,66020,285.29,66305.29
583,197,10,17,10,405490,137.86,405627.86
584,198,25,14,8,10552,355.35,10907.35
585,199,25,2,5,6595,400.86,6995.86
586,199,3,3,1,75143,237.24,75380.24
587,199,32,14,4,6056,136.37,6192.37
588,199,23,12,10,1747700,122.76,1747822.76
589,199,35,39,9,16146,320.89,16466.89
590,200,28,10,3,233763,175.15,233938.15
591,200,24,4,9,851148,461.99,851609.99
592,200,40,34,8,6848,121.32,6969.32
593,200,1,38,8,72792,207.08,72999.08
594,200,34,24,10,25750,456.65,26206.65
595,201,35,24,8,14352,247.68,14599.68
596,202,24,24,10,945720,74.44,945794.44
597,203,33,8,3,10524,409.0,10933.0
598,203,42,9,7,9912,177.46,10089.46
599,204,19,27,1,18644,228.6,18872.6
600,204,7,49,1,4181,442.67,4623.67
601,204,21,40,5,16725,63.91,16788.91
602,204,4,36,10,711370,157.83,711527.83
603,204,32,26,4,6056,313.48,6369.48
604,205,40,1,2,1712,498.27,2210.27
605,205,13,42,4,4284,394.63,4678.63
606,205,33,3,3,10524,499.95,11023.95
607,205,22,27,2,214596,121.69,214717.69
608,206,33,22,9,31572,86.29,31658.29
609,206,29,50,10,266040,452.88,266492.88
610,206,33,44,3,10524,484.31,11008.31
611,206,16,29,2,646,350.1,996.1
612,206,23,18,10,1747700,126.05,1747826.05
613,207,20,6,10,489470,168.89,489638.89
614,207,14,4,6,21072,110.75,21182.75
615,207,20,21,9,440523,451.72,440974.72
616,207,41,5,3,12753,320.41,13073.41
617,208,4,26,1,71137,385.62,71522.62
618,208,27,12,2,736,103.76,839.76
619,208,16,46,1,323,96.49,419.49
620,208,44,33,4,5604,160.35,5764.35
621,208,24,47,10,945720,429.82,946149.82
622,209,15,3,6,1146,84.14,1230.14
623,209,10,25,9,364941,498.25,365439.25
624,209,45,31,4,7156,353.93,7509.93
625,209,41,13,5,21255,115.45,21370.45
626,210,10,14,3,121647,72.02,121719.02
627,211,16,47,5,1615,474.88,2089.88
628,212,45,30,2,3578,429.95,4007.95
629,212,13,15,10,10710,342.87,11052.87
630,212,12,27,2,8140,115.36,8255.36
631,212,38,13,7,68565,231.36,68796.36
