WeatherTrafficID,LocationID,WeatherCondition,TrafficCondition,RecordedDateTime
426,7,Foggy,Moderate,2023-12-21 11:15:00
427,10,Foggy,Heavy,2022-10-11 15:37:00
428,3,Clear,Moderate,2022-07-03 13:51:00
429,15,Windy,Moderate,2022-05-08 11:45:00
430,1,Rainy,Light,2022-06-28 02:37:00
431,11,Rainy,Light,2024-06-09 03:46:00
432,1,Rainy,Light,2024-05-23 10:20:00
433,2,Snowy,Moderate,2022-09-01 10:05:00
434,11,Rainy,Heavy,2022-07-05 18:59:00
435,15,Foggy,Moderate,2022-03-14 14:50:00
436,5,Rainy,Moderate,2023-08-22 07:13:00
437,5,Clear,Heavy,2022-06-23 05:29:00
438,15,Foggy,Moderate,2023-11-15 20:14:00
439,12,Windy,Heavy,2022-05-09 13:18:00
440,11,Clear,Moderate,2024-11-11 19:07:00
441,8,Snowy,Heavy,2023-07-16 10:01:00
442,7,Foggy,Moderate,2022-05-22 15:43:00
443,10,Rainy,Moderate,2024-05-27 00:59:00
444,15,Clear,Light,2022-01-06 05:54:00
445,12,Foggy,Light,2023-06-22 20:42:00
446,5,Snowy,Light,2022-03-20 04:53:00
447,12,Windy,Light,2022-01-15 02:21:00
448,13,Windy,Light,2023-08-07 00:52:00
449,11,Windy,Heavy,2023-06-12 06:26:00
450,11,Windy,Light,2023-06-27 16:06:00
451,4,Foggy,Moderate,2022-07-09 07:05:00
452,15,Foggy,Light,2024-10-01 00:18:00
453,3,Foggy,Heavy,2024-08-12 09:49:00
454,12,Foggy,Heavy,2022-03-03 13:00:00
455,12,Foggy,Moderate,2024-03-02 17:33:00
456,1,Windy,Heavy,2023-10-27 09:20:00
457,5,Windy,Light,2023-08-21 15:05:00
458,2,Clear,Light,2023-02-07 06:17:00
459,7,Clear,Heavy,2023-01-09 17:14:00
460,8,Foggy,Moderate,2021-12-28 03:37:00
461,5,Clear,Moderate,2023-02-20 00:18:00
462,15,Rainy,Moderate,2022-06-16 19:07:00
463,9,Foggy,Light,2023-10-01 19:17:00
464,13,Snowy,Light,2024-03-02 03:31:00
465,13,Snowy,Moderate,2023-09-08 04:54:00
466,8,Clear,Moderate,2024-09-02 00:37:00
467,7,Rainy,Moderate,2023-01-12 01:40:00
468,6,Snowy,Light,2023-12-12 12:06:00
469,6,Windy,Moderate,2022-09-12 16:03:00
470,10,Rainy,Light,2022-04-13 04:11:00
471,2,Clear,Light,2022-10-22 14:04:00
472,5,Windy,Light,2023-10-06 07:39:00
473,6,Windy,Light,2024-03-27 16:12:00
474,9,Foggy,Heavy,2024-07-10 10:37:00
475,10,Clear,Heavy,2022-02-19 00:31:00
476,7,Foggy,Light,2024-08-16 11:33:00
477,14,Snowy,Light,2024-01-04 02:23:00
478,13,Rainy,Heavy,2022-05-01 07:13:00
479,13,Foggy,Moderate,2022-02-07 01:34:00
480,5,Rainy,Light,2022-05-29 19:44:00
481,15,Rainy,Moderate,2023-10-10 15:53:00
482,10,Clear,Heavy,2024-07-16 18:59:00
483,9,Rainy,Heavy,2023-07-31 16:01:00
484,6,Clear,Moderate,2022-05-07 13:23:00
485,7,Snowy,Moderate,2022-11-11 16:22:00
486,13,Rainy,Light,2022-06-05 18:17:00
487,3,Rainy,Light,2024-01-27 16:25:00
488,7,Windy,Light,2024-05-11 00:25:00
489,3,Rainy,Heavy,2024-01-14 04:19:00
490,15,Foggy,Light,2023-02-20 05:26:00
491,13,Clear,Moderate,2024-11-01 08:40:00
492,5,Foggy,Light,2022-02-09 11:16:00
493,10,Windy,Moderate,2024-06-17 09:43:00
494,12,Clear,Heavy,2022-01-24 01:18:00
495,12,Rainy,Light,2022-06-25 10:19:00
496,12,Windy,Moderate,2022-05-06 15:37:00
497,12,Rainy,Light,2024-08-10 09:13:00
498,8,Windy,Heavy,2024-09-22 00:55:00
499,11,Rainy,Moderate,2023-11-25 03:10:00
500,7,Rainy,Heavy,2024-07-01 09:50:00
501,5,Clear,Light,2022-05-14 01:04:00
502,1,Rainy,Moderate,2023-12-29 06:45:00
503,14,Rainy,Heavy,2022-09-14 05:45:00
504,7,Foggy,Heavy,2023-03-04 14:43:00
505,14,Clear,Heavy,2022-02-15 18:47:00
506,1,Clear,Light,2022-11-08 11:02:00
507,9,Rainy,Heavy,2023-08-10 18:07:00
508,9,Foggy,Moderate,2023-02-02 20:08:00
509,12,Rainy,Heavy,2024-10-13 05:44:00
510,8,Snowy,Light,2024-11-19 23:01:00
511,14,Snowy,Moderate,2024-02-27 02:27:00
512,7,Foggy,Light,2023-02-25 01:49:00
513,15,Foggy,Light,2023-05-29 06:53:00
514,4,Clear,Moderate,2023-12-21 13:40:00
515,6,Windy,Light,2024-04-05 08:51:00
516,1,Rainy,Moderate,2022-10-22 10:39:00
517,2,Clear,Moderate,2024-01-04 16:12:00
518,4,Snowy,Moderate,2023-04-16 12:33:00
519,6,Clear,Moderate,2023-03-31 14:42:00
520,6,Windy,Light,2022-05-29 11:28:00
521,13,Rainy,Heavy,2023-10-24 03:47:00
522,3,Rainy,Moderate,2023-07-04 23:29:00
523,13,Clear,Heavy,2023-04-22 18:34:00
524,1,Clear,Moderate,2022-04-26 21:00:00
525,11,Foggy,Light,2022-06-01 10:31:00
526,8,Snowy,Light,2023-07-31 03:30:00
527,15,Clear,Moderate,2023-02-18 19:33:00
528,7,Foggy,Moderate,2022-09-29 22:15:00
529,5,Windy,Moderate,2023-02-03 10:10:00
530,1,Foggy,Moderate,2024-05-06 03:00:00
531,8,Rainy,Moderate,2022-08-21 18:19:00
532,6,Snowy,Light,2023-11-23 04:12:00
533,12,Rainy,Light,2023-08-09 04:15:00
534,4,Windy,Light,2023-08-25 20:11:00
535,10,Foggy,Moderate,2023-09-22 21:18:00
536,2,Windy,Moderate,2024-07-31 00:42:00
537,6,Rainy,Heavy,2023-02-28 11:02:00
538,7,Snowy,Light,2022-07-30 15:16:00
