ShipmentID,ProviderID,CustomerID,OriginLocationID,DestinationLocationID,ShipmentStatus,DeliveryStatus,ShipmentDate,DeliveryDate
52,2,1737,12,7,Delivered,Completed,2023-07-04,2023-07-13
53,4,4078,4,2,Pending,Returned,2023-01-03,2023-01-14
54,3,3682,5,8,Pending,Canceled,2023-04-20,2023-04-25
55,4,3345,4,12,In-Transit,Delayed,2022-10-27,2022-11-05
56,3,46,7,4,Pending,Returned,2024-06-13,2024-06-26
57,4,3755,11,14,In-Transit,Delayed,2022-04-25,2022-05-06
58,2,3040,10,11,In-Transit,Canceled,2024-03-27,2024-04-13
59,4,3971,12,10,In-Transit,Delayed,2024-11-20,2024-11-26
60,2,1386,8,6,In-Transit,Returned,2023-07-22,2023-08-06
61,4,2366,5,13,In-Transit,Delayed,2022-08-26,2022-09-14
62,4,4055,12,14,In-Transit,Canceled,2023-07-25,2023-08-05
63,2,2556,12,4,In-Transit,Delayed,2022-11-09,2022-11-27
64,5,97,2,10,Delivered,Completed,2023-04-26,2023-05-09
65,5,2923,11,1,Delivered,Completed,2022-12-23,2023-01-13
66,3,2886,15,2,Delivered,Completed,2024-11-19,2024-11-28
67,1,3647,1,6,In-Transit,Delayed,2024-03-03,2024-03-07
68,4,3723,6,10,Delivered,Completed,2023-06-12,2023-07-02
69,5,2613,6,1,In-Transit,Canceled,2022-06-05,2022-06-20
70,2,607,11,12,Pending,Delayed,2024-03-11,2024-03-21
71,1,1792,10,15,Pending,Returned,2024-03-02,2024-03-17
72,2,3994,6,12,Pending,Canceled,2023-11-25,2023-12-01
73,4,220,4,7,In-Transit,Canceled,2024-02-23,2024-02-27
74,1,710,9,10,Delivered,Completed,2022-01-25,2022-02-03
75,1,4606,13,8,Delivered,Completed,2024-09-01,2024-09-20
76,2,331,12,8,Pending,Returned,2023-03-10,2023-03-29
77,1,530,15,12,In-Transit,Returned,2022-10-28,2022-11-11
78,2,3982,9,12,In-Transit,Delayed,2023-05-02,2023-05-18
79,2,1249,2,15,Pending,Delayed,2022-02-03,2022-02-10
80,1,4062,7,8,Delivered,Completed,2021-12-26,2022-01-07
81,5,3572,15,8,Delivered,Completed,2024-04-06,2024-04-15
82,5,3278,3,11,Delivered,Completed,2022-10-18,2022-11-03
83,3,3511,10,7,Pending,Delayed,2024-09-07,2024-09-22
84,2,2871,14,1,Delivered,Completed,2022-03-14,2022-03-24
85,5,3200,5,12,Delivered,Completed,2023-09-10,2023-09-17
86,3,1971,11,2,Delivered,Completed,2023-03-09,2023-03-25
87,3,1160,9,11,Delivered,Completed,2022-05-19,2022-05-24
88,3,3471,12,9,Pending,Returned,2022-02-14,2022-02-28
89,5,1959,7,8,In-Transit,Canceled,2023-08-27,2023-09-11
90,2,2589,12,13,In-Transit,Delayed,2023-08-16,2023-09-02
91,1,1762,8,13,Delivered,Completed,2022-09-26,2022-10-17
92,4,4484,8,5,Pending,Returned,2023-02-03,2023-02-13
93,1,2757,4,8,Delivered,Completed,2024-05-20,2024-06-05
94,1,1543,4,2,Delivered,Completed,2024-11-19,2024-12-09
95,2,2581,4,2,In-Transit,Delayed,2024-03-21,2024-03-25
96,1,583,13,4,Delivered,Completed,2023-02-10,2023-02-24
97,3,700,15,7,In-Transit,Canceled,2023-10-22,2023-10-29
98,1,1941,1,7,Pending,Delayed,2023-06-24,2023-07-09
99,5,3884,7,6,In-Transit,Returned,2022-12-25,2022-12-29
100,5,2787,6,9,Pending,Delayed,2024-06-16,2024-06-29
101,2,508,14,5,In-Transit,Delayed,2022-08-19,2022-09-06
102,1,1135,2,3,Delivered,Completed,2023-06-22,2023-07-07
103,3,2746,8,14,Pending,Returned,2024-12-15,2025-01-05
104,2,2774,5,1,Pending,Returned,2024-10-20,2024-10-28
105,5,4504,4,9,Pending,Returned,2023-12-16,2023-12-23
106,3,4577,1,5,In-Transit,Canceled,2023-05-10,2023-05-26
107,3,1940,6,11,In-Transit,Delayed,2023-11-30,2023-12-16
108,2,1551,4,15,Pending,Canceled,2022-02-19,2022-02-28
109,2,1111,6,3,Pending,Returned,2023-03-12,2023-03-25
110,5,873,1,8,In-Transit,Returned,2024-09-23,2024-09-29
111,1,3588,12,1,Pending,Returned,2022-09-26,2022-10-10
112,3,4998,3,9,Pending,Delayed,2024-03-15,2024-03-29
113,1,1321,9,2,Delivered,Completed,2024-02-09,2024-02-21
114,3,3507,5,9,Pending,Delayed,2023-10-01,2023-10-21
115,5,569,15,4,Delivered,Completed,2022-08-18,2022-08-29
116,3,2295,12,9,In-Transit,Canceled,2023-05-16,2023-06-02
117,3,2597,8,11,Pending,Delayed,2022-02-04,2022-02-16
118,1,2380,12,11,Delivered,Completed,2023-11-19,2023-12-08
119,5,2154,8,10,Pending,Returned,2024-01-26,2024-01-31
120,5,4916,1,10,Delivered,Completed,2022-01-14,2022-01-31
121,4,2048,6,3,In-Transit,Returned,2024-03-06,2024-03-25
122,5,1724,13,2,Delivered,Completed,2024-05-27,2024-06-09
123,3,146,8,4,Pending,Canceled,2023-01-28,2023-02-13
124,4,3529,12,1,Pending,Canceled,2022-06-02,2022-06-18
125,4,2949,14,6,Pending,Delayed,2022-12-23,2022-12-27
126,4,1465,13,7,Pending,Delayed,2024-01-28,2024-02-05
127,4,963,12,6,In-Transit,Canceled,2023-07-19,2023-07-31
128,5,3652,14,13,Pending,Returned,2024-05-27,2024-06-03
129,3,1492,5,1,Pending,Returned,2024-07-14,2024-08-01
130,4,2801,7,8,In-Transit,Returned,2022-12-11,2022-12-26
131,5,4760,14,4,In-Transit,Returned,2023-09-07,2023-09-28
132,2,3815,6,7,Pending,Returned,2022-02-14,2022-02-19
133,4,4714,13,6,Delivered,Completed,2024-04-21,2024-05-12
134,1,2341,10,8,Pending,Delayed,2022-04-21,2022-05-12
135,3,1612,7,5,Delivered,Completed,2022-08-14,2022-08-29
136,3,4405,2,11,Delivered,Completed,2022-08-09,2022-08-15
137,4,2787,9,13,In-Transit,Returned,2023-07-31,2023-08-07
138,5,1754,3,13,In-Transit,Canceled,2023-05-16,2023-05-22
139,5,4875,15,5,Delivered,Completed,2023-11-20,2023-11-25
140,4,2562,14,12,Pending,Returned,2023-07-27,2023-08-16
141,4,862,3,2,Pending,Canceled,2023-09-16,2023-10-02
142,3,4819,2,4,Pending,Delayed,2023-12-11,2023-12-19
143,1,1461,3,11,Delivered,Completed,2024-04-04,2024-04-21
144,1,431,6,15,Pending,Returned,2022-10-28,2022-11-01
145,2,4178,6,7,Delivered,Completed,2022-04-04,2022-04-21
146,3,2395,10,5,Pending,Delayed,2022-04-04,2022-04-19
147,3,2509,2,5,In-Transit,Canceled,2023-10-26,2023-11-17
148,3,1383,3,1,Pending,Canceled,2022-03-23,2022-03-28
149,1,4073,7,9,Pending,Delayed,2023-11-20,2023-12-02
150,2,4266,2,6,Delivered,Completed,2023-04-28,2023-05-10
151,1,1856,2,4,In-Transit,Delayed,2024-10-26,2024-11-06
152,3,989,8,3,In-Transit,Canceled,2022-07-30,2022-08-13
153,1,2114,12,14,In-Transit,Returned,2023-02-08,2023-02-15
154,4,2713,6,7,In-Transit,Returned,2022-01-27,2022-02-10
155,5,2477,3,4,In-Transit,Canceled,2024-12-05,2024-12-14
156,2,3793,4,2,Pending,Returned,2024-01-17,2024-01-24
157,3,1506,6,12,Pending,Delayed,2024-11-11,2024-11-24
158,1,978,4,10,Pending,Delayed,2023-03-30,2023-04-04
159,5,827,4,9,In-Transit,Canceled,2023-03-08,2023-03-19
160,4,1982,15,7,Pending,Returned,2022-02-14,2022-02-26
161,3,1311,9,12,Delivered,Completed,2024-10-09,2024-10-27
162,3,3283,2,11,Pending,Canceled,2023-03-01,2023-03-22
163,2,4891,1,8,In-Transit,Delayed,2023-06-24,2023-07-03
164,5,2798,6,12,Delivered,Completed,2023-09-08,2023-09-19
165,1,2592,11,13,Delivered,Completed,2023-11-19,2023-11-27
166,2,361,3,9,Pending,Returned,2022-09-18,2022-10-04
167,1,1036,15,11,In-Transit,Canceled,2024-02-11,2024-02-18
168,5,908,9,1,Delivered,Completed,2024-01-04,2024-01-18
169,3,2673,10,13,Delivered,Completed,2022-05-30,2022-06-07
170,3,1754,2,4,Delivered,Completed,2022-11-20,2022-12-02
171,3,3073,2,10,Pending,Canceled,2023-10-30,2023-11-16
172,3,361,3,14,Delivered,Completed,2023-05-06,2023-05-16
173,2,753,1,3,In-Transit,Canceled,2024-08-08,2024-08-19
174,1,3501,11,3,Pending,Canceled,2022-09-08,2022-09-24
175,5,3274,6,9,Pending,Delayed,2024-06-13,2024-06-22
176,4,3955,15,13,Delivered,Completed,2024-01-30,2024-02-17
177,2,2376,10,14,Delivered,Completed,2023-02-24,2023-03-02
178,3,3419,11,6,In-Transit,Delayed,2022-11-29,2022-12-18
179,2,3650,15,7,In-Transit,Canceled,2022-11-16,2022-11-25
180,4,1526,10,12,Pending,Canceled,2023-05-14,2023-05-25
181,2,3879,15,7,In-Transit,Delayed,2022-05-24,2022-06-12
182,2,1813,2,3,In-Transit,Canceled,2024-08-23,2024-09-13
183,3,467,12,4,Pending,Canceled,2022-01-22,2022-01-30
184,3,2087,10,3,Delivered,Completed,2022-09-13,2022-09-22
185,1,3348,12,1,In-Transit,Canceled,2024-04-21,2024-05-13
186,1,2366,6,3,In-Transit,Canceled,2022-01-05,2022-01-23
187,4,4461,11,8,Delivered,Completed,2022-09-05,2022-09-27
188,1,1640,15,1,Delivered,Completed,2024-10-13,2024-11-03
189,5,2612,14,11,Pending,Canceled,2023-08-15,2023-08-21
190,2,1268,5,15,In-Transit,Delayed,2024-08-10,2024-08-15
191,2,3736,14,9,In-Transit,Canceled,2023-06-10,2023-06-19
192,4,57,4,12,Delivered,Completed,2024-01-22,2024-02-09
193,4,4072,3,11,Pending,Delayed,2023-02-27,2023-03-04
194,1,348,3,5,Delivered,Completed,2024-05-30,2024-06-12
195,5,1181,3,13,In-Transit,Returned,2024-08-30,2024-09-12
196,5,1709,9,11,Pending,Delayed,2022-04-21,2022-04-27
197,2,4935,1,3,Delivered,Completed,2022-01-25,2022-02-05
198,5,3269,14,3,Pending,Delayed,2024-06-07,2024-06-15
199,4,4357,11,1,In-Transit,Returned,2022-06-18,2022-07-01
200,3,1199,8,13,Pending,Canceled,2023-06-28,2023-07-02
201,4,2021,2,6,Pending,Canceled,2022-09-05,2022-09-14
202,4,2381,14,10,In-Transit,Returned,2022-06-21,2022-06-29
203,1,3574,15,3,Pending,Delayed,2023-04-23,2023-05-07
204,5,3302,7,14,Pending,Returned,2023-05-03,2023-05-15
205,3,3187,12,10,Delivered,Completed,2022-10-11,2022-10-27
206,3,2930,14,1,In-Transit,Canceled,2024-09-15,2024-10-06
207,2,3080,14,7,Pending,Delayed,2022-11-08,2022-11-17
208,4,576,10,4,Pending,Returned,2024-05-09,2024-05-13
209,1,4470,7,5,Pending,Canceled,2022-12-18,2022-12-29
210,5,246,13,9,Pending,Returned,2024-07-17,2024-07-25
211,1,2343,8,5,Pending,Returned,2024-03-23,2024-04-03
212,1,4146,4,15,Delivered,Completed,2024-04-04,2024-04-18
213,2,4381,4,13,In-Transit,Delayed,2024-02-22,2024-03-08
214,2,4474,11,7,Delivered,Completed,2023-07-20,2023-08-11
215,1,2094,3,9,Pending,Returned,2022-09-08,2022-09-13
216,1,3728,15,5,Pending,Returned,2024-04-07,2024-04-11
217,1,4665,9,13,Delivered,Completed,2023-09-04,2023-09-08
218,2,560,8,9,Pending,Delayed,2022-04-30,2022-05-14
219,2,4259,12,9,Delivered,Completed,2024-07-11,2024-07-15
220,3,4130,9,12,Delivered,Completed,2023-02-24,2023-03-14
221,5,1540,11,10,Delivered,Completed,2024-08-13,2024-08-26
222,4,275,9,11,In-Transit,Canceled,2022-12-01,2022-12-20
223,4,1465,11,10,In-Transit,Canceled,2023-11-07,2023-11-29
224,5,3015,10,15,Pending,Delayed,2024-12-07,2024-12-12
225,1,3506,6,12,Pending,Canceled,2024-01-31,2024-02-20
226,1,2930,1,5,Pending,Returned,2021-12-30,2022-01-15
227,5,3512,3,4,Pending,Canceled,2024-09-11,2024-09-27
228,5,4834,7,3,Delivered,Completed,2023-02-06,2023-02-21
229,1,1612,15,12,Delivered,Completed,2023-03-22,2023-03-27
230,2,4243,10,14,Delivered,Completed,2022-04-17,2022-04-26
231,5,958,15,4,In-Transit,Delayed,2022-04-25,2022-05-11
232,5,4830,15,11,In-Transit,Delayed,2023-04-04,2023-04-17
233,4,4546,6,1,Delivered,Completed,2022-03-15,2022-03-29
234,2,1677,1,5,In-Transit,Canceled,2022-09-30,2022-10-21
235,5,4660,10,8,Delivered,Completed,2022-09-11,2022-09-22
236,5,4874,2,6,In-Transit,Delayed,2023-06-14,2023-07-04
237,3,2989,10,11,Pending,Returned,2022-08-15,2022-08-27
238,4,3789,4,1,Pending,Returned,2023-06-01,2023-06-10
239,2,4672,14,10,Pending,Returned,2023-11-28,2023-12-17
240,5,2132,14,6,Delivered,Completed,2023-05-11,2023-05-18
241,3,1599,9,13,Delivered,Completed,2022-07-19,2022-08-06
242,5,1120,7,10,Delivered,Completed,2022-05-22,2022-05-29
243,3,2016,7,2,Delivered,Completed,2022-11-25,2022-12-08
244,2,3522,2,5,In-Transit,Canceled,2022-12-05,2022-12-16
245,3,1531,15,14,Delivered,Completed,2022-08-18,2022-09-03
246,3,4390,14,3,Pending,Delayed,2022-02-10,2022-02-22
247,1,3716,12,13,Pending,Canceled,2023-02-25,2023-03-16
248,2,156,4,1,Delivered,Completed,2022-08-27,2022-09-12
249,2,3254,10,15,Delivered,Completed,2023-01-22,2023-02-02
250,3,2549,13,10,Pending,Canceled,2022-05-18,2022-05-31
251,3,149,9,15,In-Transit,Delayed,2022-09-28,2022-10-08
252,3,4158,6,2,In-Transit,Delayed,2024-01-15,2024-01-29
253,2,435,3,7,Delivered,Completed,2022-08-31,2022-09-14
254,4,1203,14,3,Delivered,Completed,2024-03-19,2024-03-28
255,4,494,10,5,Delivered,Completed,2023-11-04,2023-11-24
256,1,4706,2,4,Delivered,Completed,2022-07-23,2022-08-03
257,4,3883,6,4,Pending,Returned,2022-02-17,2022-03-09
258,4,2237,4,10,Delivered,Completed,2024-08-25,2024-09-01
259,3,4739,14,15,In-Transit,Returned,2022-01-04,2022-01-13
260,1,2696,15,1,Pending,Delayed,2022-12-29,2023-01-12
261,3,1687,10,14,Pending,Canceled,2024-03-27,2024-04-14
262,3,1385,5,12,Delivered,Completed,2023-02-02,2023-02-11
263,1,631,3,8,Pending,Delayed,2023-09-24,2023-10-15
264,4,1904,14,13,In-Transit,Returned,2022-01-31,2022-02-16
265,3,2635,6,15,In-Transit,Returned,2024-02-08,2024-02-26
266,5,3997,4,11,Pending,Canceled,2023-04-20,2023-04-24
267,2,1928,3,13,Pending,Delayed,2024-06-18,2024-07-05
268,5,4257,13,2,Pending,Returned,2024-11-09,2024-11-19
269,1,1037,12,4,Pending,Canceled,2024-04-03,2024-04-19
270,4,39,3,9,In-Transit,Returned,2024-08-30,2024-09-18
271,5,892,15,11,Delivered,Completed,2022-07-22,2022-07-31
272,4,4613,7,12,Pending,Canceled,2023-01-22,2023-02-06
273,2,3368,9,12,In-Transit,Canceled,2022-11-01,2022-11-13
274,1,3542,1,10,Delivered,Completed,2023-07-10,2023-07-16
275,4,1890,15,6,Delivered,Completed,2024-08-28,2024-09-02
276,3,4959,1,12,In-Transit,Canceled,2024-10-07,2024-10-29
277,3,1680,10,12,Pending,Returned,2022-07-07,2022-07-17
278,1,1398,3,1,Delivered,Completed,2021-12-28,2022-01-13
279,2,2699,2,7,In-Transit,Canceled,2022-11-07,2022-11-15
280,5,2593,14,11,Pending,Delayed,2022-01-05,2022-01-25
281,3,4787,7,10,Pending,Returned,2023-09-19,2023-10-10
282,4,3236,8,6,In-Transit,Canceled,2022-09-19,2022-10-09
283,1,3280,9,12,In-Transit,Delayed,2022-06-03,2022-06-12
284,1,3386,10,5,Delivered,Completed,2023-05-07,2023-05-28
285,2,3956,13,10,In-Transit,Canceled,2023-11-10,2023-11-16
286,5,124,6,8,Pending,Canceled,2023-06-01,2023-06-05
287,2,3280,9,4,Pending,Canceled,2022-11-23,2022-12-02
288,1,3158,14,2,Pending,Returned,2024-05-16,2024-05-29
289,5,1078,4,13,In-Transit,Canceled,2024-05-13,2024-05-21
290,5,4919,3,10,Delivered,Completed,2024-01-05,2024-01-15
291,2,3234,11,1,Delivered,Completed,2022-03-27,2022-04-13
292,3,3368,3,13,Pending,Returned,2023-02-13,2023-02-17
293,2,785,1,13,In-Transit,Returned,2022-02-25,2022-03-14
294,2,4135,2,6,Delivered,Completed,2022-07-26,2022-08-15
295,2,25,10,15,Pending,Canceled,2022-01-11,2022-01-30
296,3,245,4,7,Pending,Canceled,2024-10-11,2024-10-18
297,2,1116,15,12,Delivered,Completed,2022-12-06,2022-12-13
298,4,3810,15,9,Pending,Returned,2024-08-23,2024-09-08
299,2,4553,2,6,Delivered,Completed,2024-09-19,2024-10-11
300,4,92,14,11,Pending,Delayed,2024-04-23,2024-04-29
301,2,4622,15,13,Pending,Canceled,2024-03-21,2024-04-12
302,2,3390,9,15,In-Transit,Canceled,2022-01-31,2022-02-19
303,4,2941,13,15,In-Transit,Delayed,2023-06-29,2023-07-11
304,1,3881,9,13,Delivered,Completed,2022-04-05,2022-04-27
305,5,4048,1,15,Delivered,Completed,2023-04-05,2023-04-25
306,5,4731,10,9,In-Transit,Canceled,2024-05-09,2024-05-25
307,2,2686,2,12,Pending,Canceled,2022-12-30,2023-01-12
308,2,4862,6,4,Delivered,Completed,2023-07-20,2023-08-02
309,1,4498,5,14,Pending,Delayed,2023-06-24,2023-07-15
310,1,3549,9,2,Delivered,Completed,2022-04-07,2022-04-15
311,4,4703,8,14,Pending,Canceled,2023-07-22,2023-08-03
312,5,1347,9,1,Pending,Canceled,2022-10-10,2022-10-17
313,5,1541,8,11,Delivered,Completed,2022-08-07,2022-08-13
314,3,1455,11,14,In-Transit,Delayed,2024-01-26,2024-01-31
315,1,4013,1,10,Delivered,Completed,2023-12-24,2024-01-08
316,4,4944,3,11,In-Transit,Returned,2023-11-29,2023-12-20
317,2,898,13,12,Delivered,Completed,2024-03-18,2024-03-27
318,4,4977,11,8,In-Transit,Delayed,2023-08-20,2023-09-01
319,2,1888,6,14,Delivered,Completed,2023-04-02,2023-04-19
320,1,3560,8,14,Delivered,Completed,2024-07-02,2024-07-13
321,2,2521,4,1,In-Transit,Returned,2023-01-27,2023-02-03
322,5,3752,14,1,Pending,Returned,2023-10-09,2023-10-28
323,4,4656,5,1,Pending,Returned,2024-08-10,2024-08-31
324,5,1595,15,11,In-Transit,Returned,2022-02-25,2022-03-14
325,4,179,15,8,Delivered,Completed,2022-06-21,2022-07-08
326,3,3637,2,12,Delivered,Completed,2023-07-03,2023-07-16
327,3,1255,9,11,In-Transit,Canceled,2024-05-27,2024-06-09
328,4,1840,13,6,Pending,Returned,2023-04-17,2023-04-23
329,4,2685,13,7,Pending,Delayed,2024-08-21,2024-09-10
330,1,127,1,2,Pending,Delayed,2023-08-21,2023-08-26
331,5,490,2,5,Delivered,Completed,2022-02-17,2022-03-05
332,5,2664,10,3,In-Transit,Returned,2024-06-06,2024-06-12
333,2,4894,12,7,Pending,Canceled,2022-03-03,2022-03-25
334,1,3013,1,2,In-Transit,Returned,2024-02-11,2024-02-20
335,3,1045,6,7,In-Transit,Canceled,2023-04-15,2023-04-25
336,3,3639,12,9,Pending,Canceled,2024-09-27,2024-10-12
337,3,1265,4,13,Pending,Returned,2024-12-01,2024-12-18
338,4,3366,9,2,Delivered,Completed,2022-05-06,2022-05-22
339,5,782,11,3,In-Transit,Delayed,2022-03-30,2022-04-03
340,2,2224,4,9,In-Transit,Delayed,2023-07-25,2023-08-12
341,1,4916,12,8,In-Transit,Canceled,2024-04-30,2024-05-12
342,2,3937,4,11,In-Transit,Canceled,2023-12-09,2023-12-23
343,1,4156,13,3,Delivered,Completed,2022-01-02,2022-01-23
344,5,347,15,8,Pending,Delayed,2022-05-02,2022-05-22
345,4,4184,2,4,Delivered,Completed,2022-09-08,2022-09-20
346,5,1739,2,6,In-Transit,Returned,2022-10-07,2022-10-16
347,3,388,9,10,Delivered,Completed,2024-09-17,2024-10-02
348,4,1689,14,5,Pending,Returned,2023-11-05,2023-11-21
349,2,3862,8,14,Pending,Returned,2024-10-27,2024-11-03
350,1,4125,10,14,Delivered,Completed,2024-02-12,2024-02-25
351,3,3440,12,10,In-Transit,Canceled,2023-10-19,2023-10-30
352,3,504,10,14,Delivered,Completed,2023-04-05,2023-04-12
353,3,3250,9,6,In-Transit,Delayed,2023-11-14,2023-12-02
354,5,3463,3,11,Pending,Canceled,2022-05-24,2022-05-28
355,3,3204,8,3,In-Transit,Delayed,2023-03-17,2023-03-23
356,2,1964,5,7,Delivered,Completed,2024-07-20,2024-07-26
357,2,1095,6,1,Delivered,Completed,2023-10-15,2023-10-26
358,2,2238,6,12,Delivered,Completed,2023-11-16,2023-12-05
359,3,1724,12,6,Pending,Canceled,2022-10-30,2022-11-07
360,3,3148,8,12,In-Transit,Canceled,2023-02-16,2023-02-23
361,5,2216,12,8,Pending,Delayed,2023-04-04,2023-04-21
362,1,3480,10,6,In-Transit,Delayed,2023-01-09,2023-01-23
363,2,515,9,11,Pending,Returned,2022-09-11,2022-10-03
364,4,2547,13,15,Delivered,Completed,2024-11-10,2024-11-17
365,2,2169,13,8,In-Transit,Delayed,2022-03-03,2022-03-11
366,1,3441,8,7,Pending,Returned,2023-03-16,2023-04-03
367,1,4333,3,5,In-Transit,Canceled,2024-03-09,2024-03-27
368,4,3804,4,9,Pending,Returned,2022-10-24,2022-11-13
369,5,1386,7,2,Pending,Canceled,2024-08-24,2024-09-04
370,3,2287,1,6,Pending,Returned,2023-09-16,2023-09-24
371,1,4779,8,3,Delivered,Completed,2022-01-02,2022-01-08
372,5,4101,8,13,Pending,Canceled,2022-09-05,2022-09-24
373,1,4369,11,8,In-Transit,Canceled,2023-09-01,2023-09-14
374,4,163,8,7,In-Transit,Canceled,2022-01-15,2022-01-24
375,5,897,2,1,Delivered,Completed,2023-07-03,2023-07-16
376,2,4947,4,6,Pending,Returned,2022-06-10,2022-06-16
377,5,1082,6,3,In-Transit,Delayed,2023-03-12,2023-03-26
378,2,3999,10,11,In-Transit,Canceled,2023-01-31,2023-02-17
379,5,4480,10,6,In-Transit,Returned,2024-03-12,2024-03-23
380,1,3009,9,7,In-Transit,Returned,2023-01-16,2023-02-07
381,1,638,3,5,Delivered,Completed,2024-11-28,2024-12-15
382,2,1976,9,1,Pending,Delayed,2024-07-19,2024-07-31
383,2,3725,11,1,Delivered,Completed,2022-05-11,2022-06-01
384,3,1731,11,14,In-Transit,Canceled,2023-06-14,2023-06-27
385,3,2141,8,15,In-Transit,Canceled,2022-04-22,2022-05-11
386,3,4778,11,10,In-Transit,Canceled,2024-09-04,2024-09-25
387,2,360,4,6,In-Transit,Delayed,2024-08-16,2024-08-25
388,4,750,7,15,In-Transit,Returned,2023-05-19,2023-05-30
389,3,1037,12,8,Delivered,Completed,2023-11-16,2023-11-26
390,2,336,3,10,Delivered,Completed,2022-07-06,2022-07-21
391,5,1179,10,15,Delivered,Completed,2022-06-16,2022-07-05
392,2,4784,7,6,Delivered,Completed,2024-04-04,2024-04-13
393,1,2474,13,14,Delivered,Completed,2022-05-30,2022-06-19
394,1,3963,7,2,Pending,Returned,2024-01-10,2024-01-16
395,5,356,2,12,In-Transit,Delayed,2023-03-04,2023-03-08
396,3,3085,14,2,Pending,Delayed,2023-03-20,2023-04-05
397,4,3824,7,3,In-Transit,Delayed,2022-06-02,2022-06-17
398,5,10,7,10,Delivered,Completed,2023-09-11,2023-09-18
399,2,22,9,4,Pending,Canceled,2022-01-13,2022-01-23
400,1,864,8,11,Pending,Delayed,2022-09-11,2022-10-02
401,1,2061,13,10,Pending,Returned,2023-02-15,2023-03-07
402,3,2763,2,4,Pending,Delayed,2024-03-02,2024-03-24
403,3,164,7,2,Delivered,Completed,2023-02-13,2023-03-04
404,5,1570,2,8,In-Transit,Delayed,2023-12-17,2023-12-25
